"","playDispNm","blkPerGame","trbPerGame","stlPerGame","toPerGame","astPerGame","ptsPerGame","teamWins","mvpScore"
"36","Eric Bledsoe",0.558823529411765,3.82352941176471,2.02941176470588,2.95588235294118,4.85294117647059,17.6176470588235,37,57.6617647058824
"37","Tobias Harris",0.445945945945946,5.41891891891892,0.851351351351351,1.24324324324324,2.2972972972973,18.5540540540541,38,57.5959459459459
"38","Eric Gordon",0.393939393939394,2.48484848484848,0.651515151515151,1.93939393939394,2.24242424242424,18.3333333333333,53,57.3075757575758
"39","Dwight Howard",1.62666666666667,12.3466666666667,0.586666666666667,2.64,1.30666666666667,16.6933333333333,33,57.0093333333333
"40","Andrew Wiggins",0.649350649350649,4.23376623376623,1.1038961038961,1.74025974025974,1.87012987012987,17.9220779220779,44,56.6220779220779
"41","Kevin Love",0.407407407407407,9.2037037037037,0.703703703703704,1.53703703703704,1.74074074074074,17.537037037037,33,56.4481481481481
"42","Tyreke Evans",0.326923076923077,5.09615384615385,1.09615384615385,2.25,5.17307692307692,19.4230769230769,19,55.9980769230769
"43","Goran Dragić",0.169014084507042,4,0.830985915492958,2.1830985915493,4.85915492957746,17.4225352112676,38,55.5366197183099
"44","Dennis Schröder",0.0895522388059701,3.1044776119403,1.08955223880597,2.73134328358209,6.23880597014925,19.4179104477612,21,55.044776119403
"45","Gary Harris",0.230769230769231,2.67692307692308,1.86153846153846,1.8,2.96923076923077,17.6615384615385,36,54.7153846153846
"46","Marc Gasol",1.42857142857143,8.22857142857143,0.728571428571429,2.68571428571429,4.15714285714286,17.5857142857143,20,54.27
"47","Jusuf Nurkic",1.41095890410959,8.71232876712329,0.821917808219178,2.32876712328767,1.80821917808219,14.3561643835616,46,53.9013698630137
"48","Draymond Green",1.38095238095238,7.85714285714286,1.36507936507937,2.76190476190476,7.3015873015873,11.2857142857143,44,53.5968253968254
"49","Will Barton",0.64,4.88,1.02666666666667,1.86666666666667,4.06666666666667,15.2,41,53.2213333333333
"50","Otto Porter",0.492957746478873,6.42253521126761,1.57746478873239,0.957746478873239,2.09859154929577,14.6338028169014,40,53.1802816901408
"51","Aaron Gordon",0.788461538461538,8.34615384615385,0.942307692307692,1.80769230769231,2.38461538461538,18.1923076923077,16,53.1788461538462
"52","Carmelo Anthony",0.643835616438356,5.80821917808219,0.63013698630137,1.28767123287671,1.3013698630137,16.3013698630137,42,53.1205479452055
"53","DeAndre Jordan",0.929577464788732,15.3802816901408,0.535211267605634,1.83098591549296,1.53521126760563,12.2535211267606,38,53.0929577464789
"54","Jamal Murray",0.346666666666667,3.69333333333333,1,2.14666666666667,3.25333333333333,16.5333333333333,41,53.0346666666667
"55","Harrison Barnes",0.191780821917808,6.23287671232877,0.684931506849315,1.53424657534247,1.98630136986301,18.7534246575342,23,52.9493150684931
"56","Dario Saric",0.283783783783784,6.83783783783784,0.689189189189189,1.97297297297297,2.60810810810811,14.9324324324324,45,52.8337837837838
